item1Id  item2    relevance_score
1       "a"     3.11853405671111
2       "a"     4.34955819229123
3       "a"     3.56127379511512
4       "a"     3.66692041836239
5       "a"     4.69425272759229
1       "b"     3.04731897717895
2       "b"     4.99956451336877
3       "b"     4.70319794029675
4       "b"     4.48627722527834
5       "b"     3.61536129410445
1       "c"     2.72168158046672
2       "c"     3.47859030843149
3       "c"     1.52987804481782
4       "c"     3.57836615443931
5       "c"     4.4982831731305
1       "d"     3.72789960435972
2       "d"     3.49235434984672
3       "d"     4.70064292964771
4       "d"     1.52896962927078
5       "d"     1.58074141156997
